Частота (Гц), Фаза (градусы)
77.20, 160.03
77.25, 156.57
77.30, -26.54
77.35, -143.04
77.40, -156.27
77.45, 13.28
77.50, -52.69
77.55, -95.33
77.60, 58.59
77.65, -44.04
77.70, 148.81
77.75, -14.69
77.80, 17.92
77.85, 176.14
77.90, -93.65
77.95, -86.47
78.00, 7.50
78.05, -81.36
78.10, 139.60
78.15, 162.39
78.20, -73.58
78.25, -19.06
78.30, -44.43
78.35, -48.13
78.40, 96.95
78.45, 170.69
78.50, 84.25
78.55, -74.26
78.60, -113.29
78.65, 0.68
78.70, -175.76
78.75, 20.06
78.80, 33.04
78.85, 177.33
78.90, 95.97
78.95, 29.73
79.00, -162.42
79.05, -26.65
79.10, -29.62
79.15, 21.17
79.20, -60.72
79.25, -87.84
79.30, -151.50
79.35, 91.12
79.40, -89.28
79.45, 118.46
79.50, -128.17
79.55, 103.90
79.60, 135.78
79.65, 167.44
79.70, 15.26
79.75, 53.61
79.80, -66.80
79.85, -93.69
79.90, 176.59
79.95, -85.11
80.00, -106.39
80.05, -104.62
80.10, 118.00
80.15, 85.08
80.20, -160.72
80.25, 118.59
80.30, -145.23
80.35, 56.12
80.40, -15.28
80.45, -136.06
80.50, 141.10
80.55, 173.46
80.60, -89.91
80.65, 65.19
80.70, -146.21
80.75, 4.66
80.80, 111.54
80.85, -66.09
80.90, 36.67
80.95, -165.94
81.00, 61.33
81.05, 124.36
81.10, -90.28
81.15, 76.90
81.20, 40.56
81.25, -171.44
81.30, -18.52
81.35, 39.98
81.40, -96.49
81.45, -56.18
81.50, 36.58
81.55, 40.98
81.60, -158.16
81.65, -30.69
81.70, -121.40
81.75, 93.56
81.80, -171.29
81.85, -161.84
81.90, 1.18
81.95, -12.32
82.00, 169.59
82.05, -116.94
82.10, 163.32
82.15, -133.63
82.20, -95.88
82.25, -24.95
82.30, 155.15
82.35, 109.97
82.40, 91.13
82.45, -153.23
82.50, 173.92
82.55, 171.21
82.60, -8.99
82.65, -15.04
82.70, -90.00
82.75, 20.97
82.80, 60.53
82.85, -40.40
82.90, 69.74
82.95, 146.89
83.00, 170.06
83.05, -107.91
83.10, 97.72
83.15, 9.51
83.20, -127.05
83.25, -53.38
83.30, 80.20
83.35, -114.69
83.40, -145.65
83.45, -159.61
83.50, -30.12
83.55, -58.01
83.60, -166.86
83.65, -155.44
83.70, -138.60
83.75, 139.61
83.80, 89.21
83.85, -61.64
83.90, -164.91
83.95, 17.29
84.00, 169.65
84.05, -8.67
84.10, -168.92
84.15, 7.49
84.20, 133.05
84.25, -112.03
84.30, -162.02
84.35, -79.72
84.40, -143.92
84.45, 9.78
84.50, 151.27
84.55, -178.96
84.60, -40.32
84.65, -22.75
84.70, 34.81
84.75, -36.66
84.80, -153.14
84.85, -169.76
84.90, -97.36
84.95, -176.81
85.00, -87.31
85.05, 120.36
85.10, 177.22
85.15, 102.21
85.20, -39.60
85.25, -122.37
85.30, -88.75
85.35, 99.58
85.40, 62.89
85.45, -18.47
85.50, -53.98
85.55, -22.17
85.60, -117.30
85.65, 33.39
85.70, 120.30
85.75, -50.17
85.80, -132.62
85.85, -116.21
85.90, 79.84
85.95, -3.85
86.00, 138.36
86.05, -126.47
86.10, 167.66
86.15, -92.73
86.20, 79.06
86.25, -42.00
86.30, -135.64
86.35, 15.03
86.40, 114.49
86.45, -167.71
86.50, 73.47
86.55, 132.28
86.60, -55.81
86.65, 99.16
86.70, 75.78
86.75, -127.87
86.80, -36.58
86.85, -164.61
86.90, 168.35
86.95, 50.13
87.00, 150.71
87.05, 61.06
87.10, 178.18
87.15, -172.70
87.20, -156.20
87.25, -12.03
87.30, -110.14
87.35, 122.68
87.40, -85.46
87.45, 138.22
87.50, 161.07
87.55, 172.73
87.60, -143.22
87.65, 59.27
87.70, -171.20
87.75, 71.32
87.80, -148.14
87.85, 23.80
87.90, 93.85
87.95, -58.60
88.00, 177.45
88.05, -106.27
88.10, -18.46
88.15, -85.85
88.20, 103.02
88.25, -62.78
88.30, -18.57
88.35, -5.43
88.40, -64.11
88.45, -49.71
88.50, 32.01
88.55, 137.39
88.60, -21.64
88.65, -78.26
88.70, -104.12
88.75, -41.67
88.80, -111.50
88.85, 28.77
88.90, 6.82
88.95, -96.51
89.00, 3.86
89.05, -141.53
89.10, 158.81
89.15, 20.56
89.20, 60.71
89.25, -130.09
89.30, 127.44
89.35, -128.31
89.40, 146.45
89.45, 171.08
89.50, 0.68
89.55, 94.46
89.60, -24.31
89.65, 43.23
89.70, -162.19
89.75, -79.66
89.80, 73.16
89.85, 10.30
89.90, 30.59
89.95, -35.26
90.00, 106.98
90.05, 65.86
90.10, -134.66
90.15, 76.19
90.20, -125.23
90.25, -139.01
90.30, 13.07
90.35, 149.14
90.40, -65.90
90.45, -155.34
90.50, -131.14
90.55, -61.80
90.60, 148.91
90.65, 163.00
90.70, 124.54
90.75, 37.41
90.80, 62.93
90.85, 58.14
90.90, -145.86
90.95, 145.36
91.00, -80.67
91.05, -32.85
91.10, 19.81
91.15, -103.04
91.20, -17.51
91.25, 9.21
91.30, -58.58
91.35, 9.66
91.40, 71.57
91.45, -63.11
91.50, 47.08
91.55, -18.05
91.60, -52.51
91.65, 111.44
91.70, 20.42
91.75, 105.98
91.80, -124.09
91.85, -142.04
91.90, 37.87
91.95, -112.34
92.00, 149.35
92.05, -108.20
92.10, 113.86
92.15, -47.60
92.20, 138.09
92.25, 11.32
92.30, -73.48
92.35, -52.11
92.40, 120.00
92.45, -178.03
92.50, -18.79
92.55, 31.97
92.60, -108.50
92.65, 8.91
92.70, 135.93
92.75, -88.96
92.80, 63.82
92.85, 130.64
92.90, -80.87
92.95, 123.83
93.00, -80.76
93.05, 48.09
93.10, -62.93
93.15, 65.63
93.20, -61.41
93.25, -174.00
93.30, -170.51
93.35, 82.13
93.40, 100.27
93.45, 35.10
93.50, -140.71
93.55, 29.86
93.60, -48.06
93.65, 17.48
93.70, 19.94
93.75, -51.11
93.80, 176.32
93.85, 92.69
93.90, 116.81
93.95, 112.25
94.00, 19.21
94.05, -33.13
94.10, 101.13
94.15, 164.21
94.20, -33.80
94.25, 64.71
94.30, 167.07
94.35, -133.43
94.40, -97.36
94.45, 72.13
94.50, -167.43
94.55, 40.04
94.60, 53.56
94.65, 49.86
94.70, -4.26
94.75, -138.27
94.80, 89.17
94.85, -58.45
94.90, -165.06
94.95, 70.87
95.00, -65.71
95.05, 64.64
95.10, 96.82
95.15, -18.00
95.20, -173.44
95.25, 11.66
95.30, -178.15
95.35, -133.07
95.40, 68.00
95.45, 41.65
95.50, -118.95
95.55, 149.51
95.60, -97.34
95.65, 93.27
95.70, -21.11
95.75, 173.45
95.80, -6.98
95.85, -51.32
95.90, 175.10
95.95, 115.77
96.00, 56.43
96.05, -139.21
96.10, 1.80
96.15, -115.04
96.20, -25.36
96.25, 9.76
96.30, 21.15
96.35, 108.73
96.40, -4.64
96.45, 42.77
96.50, 161.94
96.55, -89.12
96.60, 163.81
96.65, -128.00
96.70, -88.56
96.75, -96.42
96.80, -13.90
96.85, -135.90
96.90, 61.36
96.95, -146.37
97.00, -143.03
97.05, -33.28
97.10, -34.21
97.15, -91.91
97.20, 117.93
97.25, 84.15
97.30, -95.88
97.35, -148.49
97.40, 151.17
97.45, 167.27
97.50, -69.85
97.55, -166.15
97.60, -168.24
97.65, 17.00
97.70, -44.24
97.75, -62.52
97.80, -25.48
97.85, -29.82
97.90, 45.17
97.95, -158.68
98.00, 130.34
98.05, -9.99
98.10, 164.74
98.15, -169.24
98.20, -136.36
98.25, 30.80
98.30, 63.76
98.35, -95.95
98.40, 151.52
98.45, -47.53
98.50, 167.15
98.55, 98.13
98.60, -10.91
98.65, 56.41
98.70, -104.30
98.75, -61.65
98.80, 89.15
98.85, -127.91
98.90, 143.30
98.95, 2.75
99.00, 155.74
99.05, 7.41
99.10, 145.40
99.15, -127.72
99.20, -6.84
99.25, -61.13
99.30, 130.41
99.35, 14.13
99.40, -122.29
99.45, -58.20
99.50, 11.79
99.55, 36.17
99.60, 96.16
99.65, 66.70
99.70, -72.65
99.75, 168.65
99.80, -135.84
99.85, 54.83
99.90, -75.44
99.95, 82.00
100.00, -31.47
100.05, 14.91
100.10, 100.75
100.15, -33.94
100.20, 102.24
100.25, 36.18
100.30, 173.55
100.35, 21.02
100.40, -43.77
100.45, -51.47
100.50, -125.29
100.55, 1.39
100.60, -135.48
100.65, -132.74
100.70, 74.18
100.75, -61.75
100.80, -0.24
100.85, -70.18
100.90, 178.47
100.95, 22.45
101.00, 105.54
101.05, -18.09
101.10, -39.59
101.15, -119.43
101.20, -122.05
101.25, 172.48
101.30, -22.48
101.35, -82.67
101.40, -76.38
101.45, 61.07
101.50, -38.70
101.55, 107.39
101.60, 143.44
101.65, -171.17
101.70, 32.93
101.75, -16.20
101.80, -149.03
101.85, -95.78
101.90, 43.88
101.95, -7.14
102.00, -31.42
102.05, -7.88
102.10, -52.61
102.15, -45.90
102.20, -5.07
102.25, 23.47
102.30, 96.68
102.35, -142.98
102.40, 46.48
102.45, -137.49
102.50, -90.83
102.55, 50.83
102.60, 66.97
102.65, -165.12
102.70, 96.12
102.75, 130.49
102.80, -51.29
102.85, -140.99
102.90, 96.54
102.95, -52.85
103.00, 112.79
103.05, 85.04
103.10, -83.07
103.15, -94.47
103.20, -95.63
103.25, 64.29
103.30, 83.55
103.35, -109.28
103.40, 9.26
103.45, -142.29
103.50, 91.31
103.55, -39.22
103.60, 39.45
103.65, 119.27
103.70, 162.21
103.75, -31.60
103.80, -57.95
103.85, 179.04
103.90, 121.69
103.95, -127.97
104.00, -167.41
104.05, 91.58
104.10, -134.20
104.15, 13.68
104.20, -169.27
104.25, 122.88
104.30, 85.79
104.35, -121.51
104.40, 43.68
104.45, -16.72
104.50, -107.54
104.55, 69.52
104.60, 26.67
104.65, 11.29
104.70, -42.44
104.75, -31.29
104.80, 5.08
104.85, 54.57
104.90, -177.23
104.95, 96.22
105.00, -1.24
105.05, 151.24
105.10, 175.28
105.15, -20.62
105.20, -155.44
105.25, 174.54
105.30, -163.31
105.35, 156.08
105.40, -27.07
105.45, 50.16
105.50, 147.42
105.55, 132.21
105.60, -51.02
105.65, -140.74
105.70, -102.59
105.75, -81.82
105.80, 123.84
105.85, 60.49
105.90, 19.67
105.95, 1.80
106.00, 138.68
106.05, 105.92
106.10, -106.36
106.15, -135.99
106.20, 113.02
106.25, 76.43
106.30, 0.28
106.35, -44.23
106.40, -78.40
106.45, 61.70
106.50, -144.69
106.55, 23.85
106.60, 60.15
106.65, -166.84
106.70, 42.51
106.75, 137.05
106.80, 167.22
106.85, -136.01
106.90, 169.41
106.95, -9.18
107.00, 24.95
107.05, 35.48
107.10, -94.36
107.15, -87.93
107.20, 51.78
107.25, -138.45
107.30, 22.94
107.35, 167.28
107.40, -114.34
107.45, 29.04
107.50, 40.89
107.55, 79.33
107.60, -68.20
107.65, -47.56
107.70, 173.92
107.75, 59.74
107.80, -71.84
107.85, -136.53
107.90, 49.81
107.95, 175.87
108.00, -36.62
108.05, 152.32
108.10, 27.58
108.15, 111.13
108.20, -71.50
108.25, -104.05
108.30, 33.76
108.35, 168.95
108.40, 149.03
108.45, -53.61
108.50, 142.77
108.55, -62.99
108.60, 104.42
108.65, -64.68
108.70, -100.03
108.75, 17.67
108.80, 78.38
108.85, -78.38
108.90, 163.91
108.95, -54.36
109.00, -115.21
109.05, -105.44
109.10, 72.57
109.15, -164.24
109.20, -126.50
109.25, -93.91
109.30, -148.54
109.35, 73.62
109.40, 128.44
109.45, -82.32
109.50, 179.21
109.55, 19.80
109.60, 69.63
109.65, -46.14
109.70, 7.06
109.75, -47.39
109.80, 131.09
109.85, -90.55
109.90, -25.62
109.95, 176.33
110.00, -104.71
110.05, -2.01
110.10, -18.42
110.15, 69.40
110.20, 75.96
110.25, -126.72
110.30, 65.12
110.35, -29.24
110.40, 114.19
110.45, -6.32
110.50, -24.83
110.55, 125.84
110.60, -53.45
110.65, -7.85
110.70, -167.49
110.75, 18.79
110.80, -164.22
110.85, -92.01
110.90, 138.66
110.95, 170.32
111.00, 72.09
111.05, -18.78
111.10, -18.32
111.15, -8.10
111.20, 157.08
111.25, 109.03
111.30, 132.91
111.35, -63.55
111.40, 79.82
111.45, -153.02
111.50, 156.70
111.55, -103.24
111.60, -149.31
111.65, -87.17
111.70, 95.50
111.75, 145.49
111.80, -102.37
111.85, 127.63
111.90, 16.18
111.95, -28.36
112.00, 35.04
112.05, -77.49
112.10, -125.58
112.15, 144.42
112.20, -101.90
112.25, -154.75
112.30, 92.71
112.35, 148.34
112.40, 106.43
112.45, 119.72
112.50, 100.48
112.55, 151.09
112.60, -109.20
112.65, -37.69
112.70, -78.86
112.75, -174.66
112.80, 57.49
112.85, 124.06
112.90, -23.08
112.95, -157.40
113.00, -111.63
113.05, -18.25
113.10, -163.34
113.15, 22.17
113.20, -102.86
113.25, -72.63
113.30, -77.68
113.35, -61.86
113.40, 135.21
113.45, 42.64
113.50, 74.45
113.55, 41.93
113.60, -98.60
113.65, 101.63
113.70, 118.76
113.75, -135.93
113.80, -72.47
113.85, 5.17
113.90, -100.88
113.95, 162.96
114.00, 78.33
114.05, -142.15
114.10, 128.52
114.15, 35.26
114.20, -10.48
114.25, -55.91
114.30, -32.59
114.35, -127.75
114.40, 104.96
114.45, 159.50
114.50, -114.67
114.55, -43.93
114.60, -100.97
114.65, 28.14
114.70, -7.27
114.75, -19.02
114.80, 102.49
114.85, 152.10
114.90, 34.59
114.95, -174.09
115.00, 22.70
115.05, -34.31
115.10, 18.51
115.15, 87.64
115.20, 61.46
115.25, -101.55
115.30, 70.49
115.35, -45.10
115.40, -149.07
115.45, 90.31
115.50, 150.72
115.55, 136.69
115.60, -163.16
115.65, 84.82
115.70, -81.04
115.75, -59.04
115.80, -17.14
115.85, -126.77
115.90, -135.74
115.95, -25.74
116.00, -30.19
116.05, -23.06
116.10, -122.32
116.15, -21.09
116.20, 132.09
116.25, 105.48
116.30, -141.75
116.35, 75.91
116.40, 31.70
116.45, 22.96
116.50, 51.31
116.55, 164.50
116.60, 130.54
116.65, 168.00
116.70, 102.90
116.75, 7.93
116.80, -94.78
116.85, -34.44
116.90, 58.68
116.95, 22.67
117.00, -148.52
117.05, 126.66
117.10, -47.85
117.15, 91.12
117.20, -118.70
117.25, 87.62
117.30, 95.46
117.35, 102.07
117.40, -128.04
117.45, -165.51
117.50, -113.65
117.55, 80.15
117.60, 120.98
117.65, 70.80
117.70, -26.64
117.75, 108.60
117.80, -170.96
117.85, -57.26
117.90, 106.09
117.95, 101.79
118.00, 76.39
118.05, -72.75
118.10, -70.62
118.15, 89.14
118.20, 60.95
118.25, -55.69
118.30, -175.86
118.35, -41.92
118.40, 41.67
118.45, 88.91
118.50, 103.61
118.55, -175.76
118.60, -106.63
118.65, 173.99
118.70, 68.72
118.75, -175.31
118.80, 45.58
118.85, -133.31
118.90, -52.69
118.95, 34.71
119.00, 78.31
119.05, 63.41
119.10, -80.36
119.15, -172.88
119.20, 53.81
119.25, 80.69
119.30, -94.76
119.35, -132.72
119.40, 7.25
119.45, -112.07
119.50, 171.92
119.55, -55.17
119.60, 12.74
119.65, 60.60
119.70, 26.72
119.75, -35.86
119.80, -27.50
119.85, 140.60
119.90, 39.97
119.95, -154.71
120.00, -49.84
120.05, 13.98
120.10, 94.41
120.15, -16.96
120.20, -156.62
120.25, -144.64
120.30, -71.67
120.35, -12.80
120.40, 62.12
120.45, 171.71
120.50, -108.80
120.55, -63.65
120.60, -85.46
120.65, 48.36
120.70, -133.35
120.75, -39.85
120.80, -72.76
120.85, 133.60
120.90, -63.86
120.95, -61.45
121.00, -64.44
121.05, -107.93
121.10, 32.24
121.15, -14.10
121.20, -62.80
121.25, 66.35
121.30, 100.72
121.35, 27.56
121.40, -73.50
121.45, 173.80
121.50, -85.28
121.55, 43.76
121.60, -129.53
121.65, 63.23
121.70, 17.18
121.75, 37.18
121.80, 24.05
121.85, -144.81
121.90, 70.32
121.95, -119.08
122.00, -128.29
122.05, 85.61
122.10, -57.49
122.15, -58.28
122.20, -40.86
122.25, 86.21
122.30, -36.35
122.35, 102.66
122.40, 156.19
122.45, 97.32
122.50, 42.15
122.55, 87.11
122.60, -11.31
122.65, 77.10
122.70, 21.22
122.75, -54.15
122.80, -96.94
122.85, -113.52
122.90, 164.29
122.95, 169.96
123.00, 74.79
123.05, 86.52
123.10, 147.02
123.15, 77.42
123.20, 59.31
123.25, 139.23
123.30, -52.35
123.35, -141.77
123.40, 133.89
123.45, -144.61
123.50, 144.45
123.55, 124.06
123.60, 74.62
123.65, -110.61
123.70, 37.95
123.75, -41.28
123.80, -9.65
123.85, 77.45
123.90, -54.23
123.95, -37.38
124.00, -57.33
124.05, 73.36
124.10, 1.39
124.15, -15.19
124.20, 49.08
124.25, 36.78
124.30, -168.70
124.35, -27.07
124.40, -34.85
124.45, 89.28
124.50, -36.92
124.55, 177.53
124.60, -57.38
124.65, -12.18
124.70, -2.03
124.75, 158.09
124.80, -41.99
124.85, -55.56
124.90, -108.90
124.95, 100.04
125.00, 99.68
125.05, 167.62
125.10, 27.40
125.15, 19.04
125.20, -131.11
125.25, -45.53
125.30, -92.73
125.35, -43.13
125.40, -67.58
125.45, -71.41
125.50, -97.76
125.55, -22.61
125.60, -77.67
125.65, -168.47
125.70, 71.11
125.75, -142.15
125.80, 6.51
125.85, 68.54
125.90, -4.17
125.95, 36.55
126.00, -45.52
126.05, -32.10
126.10, 119.22
126.15, -134.35
126.20, 133.99
126.25, 50.96
126.30, 134.65
126.35, 81.97
126.40, 163.51
126.45, 157.55
126.50, 65.33
126.55, -76.73
126.60, -73.59
126.65, 170.82
126.70, 136.17
126.75, -6.27
126.80, -78.09
126.85, -125.28
126.90, -50.32
126.95, 85.37
127.00, -86.90
127.05, 131.36
127.10, 126.81
127.15, -123.17
127.20, -135.20
127.25, 90.17
127.30, -31.25
127.35, 11.59
127.40, -63.56
127.45, 77.84
127.50, -23.73
127.55, -22.29
127.60, -79.10
127.65, 95.85
127.70, 84.23
127.75, -54.72
127.80, 55.74
127.85, -114.09
127.90, 36.64
127.95, 157.20
128.00, 104.12
128.05, 56.04
128.10, 157.98
128.15, 39.13
128.20, -63.17
128.25, -19.82
128.30, 12.40
128.35, 115.23
128.40, 38.98
128.45, -26.80
128.50, 14.45
128.55, 136.77
128.60, 20.37
128.65, 85.53
128.70, 37.51
128.75, 159.54
128.80, 140.21
128.85, -32.82
128.90, 125.74
128.95, -36.94
129.00, -75.70
129.05, 132.20
129.10, -92.66
129.15, -110.40
129.20, 146.51
129.25, -111.69
129.30, -105.00
129.35, 22.36
129.40, -53.69
129.45, -163.31
129.50, 124.70
129.55, 53.49
129.60, 52.94
129.65, -7.30
129.70, 96.87
129.75, 87.50
129.80, 33.58
129.85, 90.13
129.90, 141.78
129.95, -129.97
130.00, 15.30
130.05, 178.34
130.10, 10.34
130.15, -109.34
130.20, 92.99
130.25, -130.11
130.30, 80.65
130.35, -57.76
130.40, 109.91
130.45, 148.06
130.50, -95.47
130.55, 94.99
130.60, 92.64
130.65, -168.21
130.70, -24.12
130.75, 28.42
130.80, 77.48
130.85, -91.87
130.90, 90.16
130.95, -11.63
131.00, 107.03
131.05, -76.49
131.10, -171.43
131.15, -118.17
131.20, -134.21
131.25, -25.06
131.30, 176.25
131.35, -102.07
131.40, 91.30
131.45, -85.98
131.50, 11.81
131.55, -14.91
131.60, 34.99
131.65, 33.54
131.70, -32.10
131.75, -88.12
131.80, -72.90
131.85, -112.69
131.90, 176.93
131.95, 42.40
132.00, -75.61
132.05, 62.27
132.10, -163.78
132.15, -86.68
132.20, 169.01
132.25, -133.98
132.30, -55.25
132.35, 130.50
132.40, -40.61
132.45, 40.04
132.50, 23.69
132.55, 58.42
132.60, 22.68
132.65, -42.93
132.70, 61.42
132.75, 51.10
132.80, -67.61
132.85, 9.61
132.90, -49.18
132.95, 15.97
133.00, 173.14
133.05, 110.15
133.10, -162.16
133.15, 156.60
133.20, 10.86
133.25, 71.19
133.30, 160.82
133.35, 43.35
133.40, 135.75
133.45, 21.57
133.50, -28.19
133.55, 90.32
133.60, 35.82
133.65, 167.70
133.70, -143.45
133.75, 161.38
133.80, -2.63
133.85, -161.63
133.90, 26.68
133.95, 170.03
134.00, -1.90
134.05, 33.35
134.10, -48.67
134.15, -144.12
134.20, -38.30
134.25, -65.80
134.30, 131.80
134.35, 29.10
134.40, 109.34
134.45, -129.98
134.50, 35.09
134.55, -179.71
134.60, 122.91
134.65, 4.37
134.70, 49.18
134.75, -104.46
134.80, -18.53
134.85, 34.78
134.90, 112.12
134.95, -35.70
135.00, 51.61
135.05, 147.56
135.10, 120.91
135.15, -143.85
135.20, 137.74
135.25, -160.44
135.30, 131.19
135.35, 100.21
135.40, 4.79
135.45, -30.57
135.50, 38.88
135.55, 159.70
135.60, 176.91
135.65, -87.81
135.70, 64.09
135.75, -66.71
135.80, 38.85
135.85, -134.74
135.90, 29.63
135.95, -36.83
136.00, -147.11
136.05, 171.21
136.10, -179.75
136.15, 8.80
136.20, -43.65
136.25, -6.64
136.30, 34.77
136.35, 52.49
136.40, -97.96
136.45, -53.72
136.50, 166.62
136.55, -39.13
136.60, -106.07
136.65, 131.48
136.70, -148.06
136.75, -172.90
136.80, -171.28
136.85, -34.24
136.90, -136.71
136.95, -150.79
137.00, 135.68
137.05, 25.85
137.10, -51.59
137.15, -34.77
137.20, -96.14
137.25, 20.91
137.30, 70.39
137.35, 158.17
137.40, 65.13
137.45, -41.83
137.50, 49.42
137.55, -20.85
137.60, -136.02
137.65, 101.66
137.70, -102.82
137.75, 43.24
137.80, 6.94
137.85, 136.45
137.90, -164.20
137.95, -134.34
138.00, 14.26
138.05, -178.90
138.10, -164.79
138.15, 137.71
138.20, -3.85
138.25, 47.72
138.30, -25.08
138.35, -174.35
138.40, 116.82
138.45, 23.40
138.50, 118.22
138.55, 68.16
138.60, 40.63
138.65, 31.70
138.70, 102.52
138.75, -172.37
138.80, 14.56
138.85, 125.16
138.90, 68.60
138.95, -113.03
139.00, -80.58
139.05, 165.68
139.10, 49.93
139.15, 120.23
139.20, 29.36
139.25, -33.95
139.30, -26.17
139.35, -8.18
139.40, -12.93
139.45, -164.78
139.50, 179.57
139.55, -145.36
139.60, 20.62
139.65, -119.54
139.70, -55.37
139.75, 147.51
139.80, 5.72
139.85, 59.97
139.90, -100.97
139.95, -47.68
140.00, -63.42
140.05, -142.00
140.10, -31.47
140.15, -137.93
140.20, -130.38
140.25, -52.69
140.30, -88.63
140.35, 11.04
140.40, 30.23
140.45, 15.05
140.50, -97.32
140.55, -144.21
140.60, 146.53
140.65, -45.84
140.70, -142.11
140.75, 108.48
140.80, 77.40
140.85, -144.82
140.90, 116.09
140.95, -2.10
141.00, -45.63
141.05, -25.95
141.10, 135.09
141.15, 146.34
141.20, -26.51
141.25, -46.90
141.30, -102.25
141.35, 91.19
141.40, -133.13
141.45, 141.03
141.50, 21.72
141.55, -25.39
141.60, 32.65
141.65, -21.35
141.70, -130.85
141.75, -62.66
141.80, -127.40
141.85, 107.19
141.90, 70.38
141.95, 41.52
142.00, 64.79
142.05, -173.98
142.10, -42.68
142.15, -104.05
142.20, 165.05
142.25, 76.96
142.30, -36.41
142.35, -88.38
142.40, 84.44
142.45, 28.06
142.50, 159.42
142.55, -111.23
142.60, 131.38
142.65, 54.39
142.70, -4.31
142.75, -166.89
142.80, -151.46
142.85, -120.44
142.90, 26.89
142.95, -100.77
143.00, -51.70
143.05, 98.14
143.10, -68.49
143.15, 106.89
143.20, -59.35
143.25, -121.21
143.30, 115.04
143.35, 97.05
143.40, -65.19
143.45, -30.54
143.50, -130.50
143.55, -29.57
143.60, 111.87
143.65, 31.83
143.70, -177.41
143.75, -20.83
143.80, 172.69
143.85, 94.99
143.90, 137.99
143.95, -57.89
144.00, -163.09
144.05, -110.31
144.10, -93.29
144.15, -107.17
144.20, 85.97
144.25, 21.42
144.30, 77.11
144.35, 153.16
144.40, -167.54
144.45, -21.18
144.50, -106.59
144.55, 52.36
144.60, -43.94
144.65, 18.49
144.70, 35.04
144.75, -104.69
144.80, -115.97
144.85, -121.32
144.90, -1.70
144.95, -50.66
145.00, 88.45
145.05, -126.53
145.10, 35.67
145.15, -123.02
145.20, 135.23
145.25, -170.05
145.30, 110.65
145.35, 177.34
145.40, -68.39
145.45, 129.12
145.50, -27.72
145.55, -68.65
145.60, 38.73
145.65, 11.91
145.70, 82.82
145.75, 28.40
145.80, 156.89
145.85, 175.66
145.90, 166.04
145.95, -54.35
146.00, -32.49
146.05, -49.78
146.10, -69.76
146.15, -90.10
146.20, -167.53
146.25, -79.35
146.30, 114.57
146.35, -176.66
146.40, 8.53
146.45, -127.57
146.50, -5.61
146.55, 153.54
146.60, 125.58
146.65, -79.99
146.70, -87.57
146.75, -56.30
146.80, -146.77
146.85, 124.63
146.90, 136.45
146.95, -148.77
147.00, -96.29
147.05, -10.08
147.10, 143.33
147.15, 36.20
147.20, -19.08
147.25, 159.80
147.30, -149.40
147.35, -81.00
147.40, 103.97
147.45, -0.22
147.50, 63.65
147.55, 111.10
147.60, -145.54
147.65, -53.70
147.70, 143.15
147.75, -126.07
147.80, -125.06
147.85, 56.32
147.90, -144.30
147.95, 16.29
148.00, -82.30
148.05, 24.27
148.10, -146.86
148.15, -126.02
148.20, -179.70
148.25, -52.99
148.30, 178.92
148.35, 101.74
148.40, 142.62
148.45, 150.32
148.50, 7.85
148.55, -35.39
148.60, 35.17
148.65, 118.47
148.70, -166.30
148.75, 97.92
148.80, 78.05
148.85, -164.61
148.90, 56.24
148.95, -88.34
149.00, -28.26
149.05, 25.04
149.10, -168.70
149.15, -70.84
149.20, -84.53
149.25, 82.05
149.30, -106.97
149.35, -140.82
149.40, 140.45
149.45, 88.41
149.50, -166.63
149.55, -146.58
149.60, -118.79
149.65, -135.18
149.70, -47.71
149.75, 59.33
149.80, 91.32
149.85, 93.23
149.90, 35.55
149.95, 33.04
150.00, 163.08
150.05, 168.29
150.10, 92.21
150.15, -168.74
150.20, 115.24
150.25, -88.21
150.30, 79.32
150.35, -175.34
150.40, -113.75
150.45, -82.87
150.50, -34.96
150.55, 25.34
150.60, -40.31
150.65, 95.14
150.70, -68.11
150.75, -141.99
150.80, 2.60
150.85, -121.14
150.90, 32.00
150.95, 92.60
151.00, -72.99
151.05, 61.95
151.10, -89.80
151.15, -49.29
151.20, -77.80
151.25, 173.94
151.30, 168.46
151.35, -162.69
151.40, 74.76
151.45, 17.34
151.50, -98.11
151.55, -61.13
151.60, 63.06
151.65, -6.74
151.70, -20.44
151.75, 78.24
151.80, 97.84
151.85, 177.19
151.90, 98.04
151.95, 148.30
152.00, 166.47
152.05, 62.03
152.10, 10.10
152.15, 163.17
152.20, -63.09
152.25, 24.48
152.30, 102.38
152.35, -94.40
152.40, 127.53
152.45, 99.52
152.50, 68.54
152.55, 135.00
152.60, -92.07
152.65, -174.86
152.70, 159.71
152.75, 171.80
152.80, -16.37
152.85, 56.95
152.90, -56.04
152.95, 114.08
153.00, 11.88
153.05, 35.07
153.10, -69.00
153.15, -60.82
153.20, 61.32
153.25, 121.19
153.30, -19.31
153.35, -171.81
153.40, -147.24
153.45, 77.86
153.50, 123.50
153.55, -134.97
153.60, -145.99
153.65, -98.11
153.70, 150.95
153.75, 18.06
153.80, 140.77
153.85, 169.95
153.90, 0.47
153.95, 98.05
154.00, -51.55
154.05, 50.64
154.10, -99.46
154.15, -133.84
154.20, -63.35
154.25, -127.00
154.30, -61.30
154.35, -157.07
154.40, 152.96
154.45, 37.08
154.50, 36.77
154.55, 100.42
154.60, 42.13
154.65, -170.52
154.70, 134.77
154.75, -17.48
154.80, 69.87
