Частота (Гц), Фаза (градусы)
17.70, 20.92
17.75, 99.92
17.80, 37.94
17.85, -53.40
17.90, 134.16
17.95, 99.41
18.00, 103.85
18.05, 100.53
18.10, -167.22
18.15, 125.13
18.20, -137.64
18.25, -51.97
18.30, 109.44
18.35, 157.52
18.40, 143.10
18.45, -118.90
18.50, 45.89
18.55, -89.81
18.60, -133.82
18.65, -159.70
18.70, -86.14
18.75, 139.18
18.80, 109.92
18.85, -82.19
18.90, 171.23
18.95, 117.54
19.00, -155.85
19.05, -35.21
19.10, 170.42
19.15, -126.81
19.20, -126.57
19.25, -146.79
19.30, 175.38
19.35, 85.27
19.40, 4.39
19.45, -113.18
19.50, -23.85
19.55, 174.30
19.60, -95.52
19.65, -89.50
19.70, 85.72
19.75, 172.20
19.80, -99.67
19.85, 39.21
19.90, -123.19
19.95, 89.57
20.00, -17.68
20.05, 21.38
20.10, 175.83
20.15, -163.81
20.20, -88.01
20.25, 122.67
20.30, 157.50
20.35, -144.05
20.40, -174.03
20.45, -106.41
20.50, -33.33
20.55, -114.02
20.60, -47.51
20.65, 115.77
20.70, -32.94
20.75, 33.66
20.80, -88.40
20.85, -96.54
20.90, 24.45
20.95, -58.22
21.00, 80.21
21.05, -27.08
21.10, -35.33
21.15, 7.04
21.20, -121.12
21.25, 23.62
21.30, -167.40
21.35, 111.57
21.40, 30.54
21.45, 136.83
21.50, -74.08
21.55, -36.25
21.60, 103.48
21.65, -96.81
21.70, -128.62
21.75, 116.11
21.80, -73.59
21.85, -81.33
21.90, 78.70
21.95, 58.44
22.00, -28.01
22.05, -88.76
22.10, 145.20
22.15, -35.51
22.20, 123.00
22.25, -138.47
22.30, -68.45
22.35, 146.82
22.40, -38.86
22.45, -27.30
22.50, 68.91
22.55, 158.58
22.60, -62.31
22.65, 0.77
22.70, -71.77
22.75, -144.12
22.80, 81.18
22.85, 176.37
22.90, 16.92
22.95, 118.82
23.00, -177.90
23.05, -41.00
23.10, 57.36
23.15, -16.28
23.20, -38.48
23.25, 97.54
23.30, -168.46
23.35, -5.44
23.40, -116.89
23.45, -173.49
23.50, 37.62
23.55, -168.83
23.60, -51.20
23.65, -159.53
23.70, 67.61
23.75, -141.03
23.80, 143.57
23.85, 162.25
23.90, -28.16
23.95, -118.45
24.00, -11.36
24.05, -166.74
24.10, -130.47
24.15, 150.85
24.20, -74.96
24.25, 137.09
24.30, -46.43
24.35, -56.45
24.40, 26.99
24.45, 83.37
24.50, 73.48
24.55, -19.17
24.60, -34.65
24.65, -147.83
24.70, 122.70
24.75, 49.02
24.80, -69.95
24.85, -18.23
24.90, 151.37
24.95, 151.13
25.00, -4.97
25.05, -149.60
25.10, 48.64
25.15, -91.96
25.20, 171.11
25.25, 77.45
25.30, -140.32
25.35, -52.61
25.40, 4.54
25.45, 75.33
25.50, 173.14
25.55, 174.05
25.60, 20.06
25.65, -79.28
25.70, 165.44
25.75, 153.53
25.80, -82.07
25.85, -85.39
25.90, 83.54
25.95, -147.15
26.00, 156.61
26.05, -114.34
26.10, 135.50
26.15, -47.99
26.20, 70.59
26.25, -171.66
26.30, 179.23
26.35, -92.07
26.40, 171.49
26.45, -121.31
26.50, 93.00
26.55, -163.41
26.60, -72.16
26.65, -102.41
26.70, -65.32
26.75, -146.53
26.80, -125.58
26.85, 97.69
26.90, -13.40
26.95, 36.14
27.00, -130.76
27.05, -133.54
27.10, 25.25
27.15, -28.36
27.20, -26.31
27.25, -39.57
27.30, -119.28
27.35, -174.66
27.40, -102.91
27.45, -107.08
27.50, -63.63
27.55, -164.51
27.60, -156.09
27.65, -17.71
27.70, 124.36
27.75, -107.18
27.80, -91.47
27.85, 8.26
27.90, 24.35
27.95, 27.50
28.00, -58.09
28.05, -148.74
28.10, 179.32
28.15, 82.99
